Dénomination,Voies d'admninistration,Autorisation,,
MAMELLINE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MANDRAGORA OFFICINARUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MANDRAGORA OFFICINARUM, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH, crème et solution et granules et poudre,,
MANGANESE OLIGOSOL,solution buvable,orale/sublinguale,,
MANGANESE-COBALT OLIGOSOL,solution buvable,orale/sublinguale,,
MANGANESE-CUIVRE OLIGOSOL,solution buvable,orale/sublinguale,,
MANGANESE-CUIVRE-COBALT OLIGOSOL,solution buvable,orale/sublinguale,,
MANGANUM ACETICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MANGANUM ACETICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MANGANUM METALLICUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MANGANUM METALLICUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MANIDIPINE BIOGARAN 10 mg,comprimé,orale,,
MANIDIPINE BIOGARAN 20 mg,comprimé,orale,,
MANIDIPINE EG 10 mg,comprimé,orale,,
MANIDIPINE EG 20 mg,comprimé,orale,,
MANIDIPINE SANDOZ 10 mg,comprimé,orale,,
MANIDIPINE SANDOZ 20 mg,comprimé,orale,,
MANIDIPINE TEVA 10 mg,comprimé,orale,,
MANIDIPINE TEVA 20 mg,comprimé,orale,,
MANIDIPINE VIATRIS 10 mg,comprimé,orale,,
MANIDIPINE VIATRIS 20 mg,comprimé,orale,,
MANIDIPINE ZENTIVA 10 mg,comprimé,orale,,
MANIDIPINE ZENTIVA 20 mg,comprimé,orale,,
MANIDIPINE ZYDUS 10 mg,comprimé,orale,,
MANIDIPINE ZYDUS 20 mg,comprimé,orale,,
MANNITOL 10 % CARELIDE,solution pour perfusion,intraveineuse,,
MANNITOL 20 % CARELIDE,solution pour perfusion,intraveineuse,,
MANNITOL 20 POUR CENT B. BRAUN,solution injectable hypertonique pour perfusion,intraveineuse,,
MANNITOL B. BRAUN 10 POUR CENT,solution pour perfusion,intraveineuse,,
MANNITOL BIOSEDRA 10 POUR CENT,solution pour perfusion,intraveineuse,,
MANNITOL BIOSEDRA 20 POUR CENT,solution pour perfusion,intraveineuse,,
MANNITOL LAVOISIER 20 POUR CENT,solution pour perfusion,intraveineuse,,
MANTADIX 100 mg,capsule,orale,,
MARGA,comprimé à sucer,orale,,
MARSILID 50 mg,comprimé sécable,orale,,
MATRIFEN 100 microgrammes/heure,dispositif,transdermique,,
MATRIFEN 12 microgrammes/heure,dispositif,transdermique,,
MATRIFEN 25 microgrammes/heure,dispositif,transdermique,,
MATRIFEN 50 microgrammes/heure,dispositif,transdermique,,
MATRIFEN 75 microgrammes/heure,dispositif,transdermique,,
MAVIRET 100 mg/40 mg,comprimé pelliculé,orale,,
MAXALT 10 mg,comprimé,orale,,
MAXALTLYO 10 mg,lyophilisat,orale,,
MAXIDEX 0, collyre,collyre,,
MAXIDROL,collyre,ophtalmique,,
MAXILASE MAUX DE GORGE ALPHA-AMYLASE 200 U.CEIP/ml,sirop,orale,,
MAXILASE MAUX DE GORGE ALPHA-AMYLASE 3000 U. CEIP,comprimé enrobé,orale,,
MEBEVERINE ZENTIVA 100 mg,gélule,orale,,
MEBEVERINE ZENTIVA 200 mg,comprimé sécable,orale,,
MEBEVERINE ZYDUS 200 mg,comprimé sécable,orale,,
MECIR L.P. 0, comprimé pelliculé à libération prolongée,comprimé pelliculé à libération prolongée,,
MEDIALIPIDE 20 POUR CENT,émulsion pour perfusion,intraveineuse,,
MEDIATENSYL LP 30 mg,gélule à libération prolongée,orale,,
MEDIATENSYL LP 60 mg,gélule à libération prolongée,orale,,
MEDIVEINE 300 mg,comprimé,orale,,
MEDIVEINE 600 mg,comprimé sécable,orale,,
MEDNUTRIFLEX E,émulsion pour perfusion,intraveineuse,,
MEDNUTRIFLEX OMEGA E,émulsion pour perfusion,intraveineuse,,
MEDROL 16 mg,comprimé sécable,orale,,
MEDROL 4 mg,comprimé sécable,orale,,
MEDULLINE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEDULLINE WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
MEDULLO-SURRENALE BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEDULOSS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEDULOSS WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
MEGACE 160 mg,comprimé,orale,,
MEGAMYLASE 200 U.CEIP/ml,sirop,orale,,
MEGAMYLASE 3000 U.CEIP,comprimé enrobé,orale,,
MEKINIST 0, comprimé pelliculé,comprimé pelliculé,,
MEKINIST 2 mg,comprimé pelliculé,orale,,
MEKTOVI 15 mg,comprimé pelliculé,orale,,
MELADININE 0, solution pour application locale,solution pour application,,
MELADININE 10 mg,comprimé,orale,,
MELATONINE ARROW LP 2 mg,comprimé à libération prolongée,orale,,
MELAXIB 3,29 g/2,14 g pour 10 g,,
MELAXOSE,pâte,orale,,
MELILOTUS OFFICINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MELILOTUS OFFICINALIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MELISSA OFFICINALIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MELISSA OFFICINALIS WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
MELODIA 60 microgrammes/15 microgrammes,comprimé pelliculé et  comprimé pelliculé pelliculé,orale,,
MELOXICAM BIOGARAN 15 mg,comprimé sécable,orale,,
MELOXICAM BIOGARAN 7, comprimé,comprimé,,
MELOXICAM EG 15 mg,comprimé,orale,,
MELOXICAM EG 7, comprimé,comprimé,,
MELOXICAM SANDOZ 15 mg,comprimé sécable,orale,,
MELOXICAM TEVA 15 mg,comprimé sécable,orale,,
MELOXICAM TEVA 7, comprimé,comprimé,,
MELOXICAM ZENTIVA 15 mg,comprimé sécable,orale,,
MELOXICAM ZENTIVA 7, comprimé,comprimé,,
MELPHALAN SUN 50 mg,poudre et  solvant pour solution injectable pour perfusion,intraveineuse,,
MELPHALAN TILLOMED 50 mg/10 mL,poudre et  solvant pour solution injectable pour perfusion,intraveineuse,,
MEMOREEL,comprimé,sublinguale,,
MENJUGATE 10 microgrammes,suspension injectable,intramusculaire,,
MENOPUR 600 UI/ml,poudre et  solvant pour solution injectable,sous-cutanée,,
MENOPUR 75 UI,poudre et  solvant pour solution injectable,intramusculaire/sous-cutanée,,
MENQUADFI,C,W et Y,,
MENSIFEM,comprimé pelliculé,orale,,
MENTHA PIPERITA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MENVEO, C, W-135 et Y conjugué,,
MENYANTHES TRIFOLIATA BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MENYANTHES TRIFOLIATA LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEPHITIS PUTORIUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEPIVACAINE B. BRAUN 10 mg/ml,solution injectable,infiltration/intradermique/intramusculaire/péridurale/périneurale/sous-cutanée,,
MEPIVACAINE B. BRAUN 20 mg/ml,solution injectable,péridurale/périneurale,,
MERCALM,comprimé pelliculé sécable,orale,,
MERCILON,comprimé,orale,,
MERCRYL SOLUTION MOUSSANTE,solution pour application,cutanée,,
MERCRYL,solution pour application,cutanée,,
MERCRYLSPRAY,solution pour application,cutanée,,
MERCUR SOL Complexe n°39,comprimé,sublinguale,,
MERCURIUS BI-IODATUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS BI-IODATUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS CORROSIVUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS CORROSIVUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS CYANATUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS CYANATUS WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
MERCURIUS DULCIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS DULCIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS DULCIS WELEDA,granules et  poudre et  solution en gouttes en gouttes,orale/sublinguale,,
MERCURIUS PROTO-IODATUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS PROTO-IODATUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS SOLUBILIS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS SOLUBILIS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS SOLUBILIS WELEDA,crème et solution et granules et poudre unidose,cutanée/orale/sublinguale,,
MERCURIUS VIVUS BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS VIVUS LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MERCURIUS VIVUS WELEDA, crème et solution et granules et poudre,cutanée/orale/sublinguale,,
MESNA EG 100 mg/ml,solution pour perfusion,intraveineuse,,
MESOCAÏNE 25 mg/5 ml,solution injectable,intraarticulaire/intraartérielle/intraveineuse,,
MESOCAÏNE 50 mg/5 ml,solution injectable,infiltration/intraarticulaire/périarticulaire/péridurale,,
MESTINON 60 mg,comprimé enrobé,orale,,
MESTINON LP 180 mg,comprimé à libération prolongée,orale,,
METALDEHYDUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
METEOSPASMYL,capsule molle,orale,,
METEOXANE,gélule,orale,,
METFORMINE ALMUS 1000 mg,comprimé pelliculé,orale,,
METFORMINE ALMUS 500 mg,comprimé pelliculé,orale,,
METFORMINE ALMUS 850 mg,comprimé pelliculé,orale,,
METFORMINE ARROW LAB 1000 mg,comprimé pelliculé sécable,orale,,
METFORMINE ARROW LAB 500 mg,comprimé pelliculé,orale,,
METFORMINE ARROW LAB 850 mg,comprimé pelliculé,orale,,
METFORMINE BGR 500 mg,comprimé pelliculé,orale,,
METFORMINE BGR 850 mg,comprimé pelliculé,orale,,
METFORMINE BIOGARAN 1000 mg,comprimé pelliculé,orale,,
METFORMINE BLUEFISH 500 mg,comprimé pelliculé,orale,,
METFORMINE BLUEFISH 850 mg,comprimé pelliculé,orale,,
METFORMINE CRISTERS 1000 mg,comprimé pelliculé,orale,,
METFORMINE EG 1000 mg,comprimé pelliculé sécable,orale,,
METFORMINE EG 500 mg,comprimé pelliculé,orale,,
METFORMINE EG 850 mg,comprimé pelliculé,orale,,
METFORMINE EVOLUGEN 1000 mg,comprimé pelliculé sécable,orale,,
METFORMINE EVOLUGEN 500 mg,comprimé pelliculé,orale,,
METFORMINE EVOLUGEN 850 mg,comprimé pelliculé,orale,,
METFORMINE SANDOZ 1000 mg,comprimé pelliculé,orale,,
METFORMINE SANDOZ 500 mg,comprimé pelliculé,orale,,
METFORMINE SANDOZ 850 mg,comprimé pelliculé,orale,,
METFORMINE SUN 500 mg,comprimé pelliculé,orale,,
METFORMINE SUN 850 mg,comprimé pelliculé,orale,,
METFORMINE TEVA 1000 mg,comprimé pelliculé,orale,,
METFORMINE TEVA 500 mg,comprimé pelliculé,orale,,
METFORMINE TEVA 850 mg,comprimé pelliculé,orale,,
METFORMINE VIATRIS 1000 mg,comprimé dispersible,orale,,
METFORMINE VIATRIS 500 mg,comprimé dispersible,orale,,
METFORMINE VIATRIS 850 mg,comprimé dispersible,orale,,
METFORMINE ZENTIVA 1000 mg,comprimé pelliculé,orale,,
METFORMINE ZENTIVA 500 mg,comprimé pelliculé,orale,,
METFORMINE ZENTIVA 850 mg,comprimé pelliculé,orale,,
METFORMINE ZYDUS 1000 mg,comprimé pelliculé sécable,orale,,
METFORMINE ZYDUS 500 mg,comprimé pelliculé,orale,,
METFORMINE ZYDUS FRANCE 850 mg,comprimé pelliculé,orale,,
METHADONE AP-HP 1 mg,gélule,orale,,
METHADONE AP-HP 1, sirop,sirop,,
METHADONE AP-HP 10 mg,gélule,orale,,
METHADONE AP-HP 20 mg,gélule,orale,,
METHADONE AP-HP 40 mg,gélule,orale,,
METHADONE AP-HP 5 mg,gélule,orale,,
METHERGIN 0, solution injectable, ampoule,,
METHOTREXATE ACCORD 10 mg,comprimé,orale,,
METHOTREXATE ACCORD 100 mg/mL,solution à diluer pour perfusion,intraartérielle/intramusculaire/intraveineuse,,
METHOTREXATE ACCORD 2, comprimé,comprimé,,
METHOTREXATE ACCORD 25 mg/ml,solution injectable,intraartérielle/intramusculaire/intrathécale/intraveineuse,,
METHOTREXATE ACCORD 50 mg/mL,solution injectable,sous-cutanée,,
METHOTREXATE BIODIM 25 mg/1 mL,solution injectable,intraartérielle/intramusculaire/intrathécale/intraveineuse/sous-cutanée,,
METHOTREXATE BIODIM 5 mg/2 mL,solution injectable,intraartérielle/intramusculaire/intrathécale/intraveineuse/sous-cutanée,,
METHOTREXATE VIATRIS 2, solution injectable,solution injectable,,
METHOTREXATE VIATRIS 50 mg/2 ml,solution injectable,intraartérielle/intramusculaire/intrathécale/intraveineuse/sous-cutanée,,
METHYLPREDNISOLONE VIATRIS 120 mg,poudre pour solution injectable,intramusculaire/intraveineuse,,
METHYLPREDNISOLONE VIATRIS 20 mg,poudre pour solution injectable,intramusculaire/intraveineuse,,
METHYLPREDNISOLONE VIATRIS 40 mg,poudre pour solution injectable,intramusculaire/intraveineuse,,
METOCLOPRAMIDE SANDOZ 10 mg,comprimé sécable,orale,,
METOCLOPRAMIDE VIATRIS 10 mg,comprimé sécable,orale,,
METOJECT 10 mg/0, solution injectable en seringue préremplie,solution injectable,,
METOJECT 12,25 ml, solution injectable en stylo prérempli,,
METOJECT 15 mg/0, solution injectable en seringue préremplie,solution injectable,,
METOJECT 17,35 ml, solution injectable en stylo prérempli,,
METOJECT 20 mg/0, solution injectable en seringue préremplie,solution injectable,,
METOJECT 22,45 ml, solution injectable en stylo prérempli,,
METOJECT 25 mg/0, solution injectable en seringue préremplie,solution injectable,,
METOJECT 27,55 ml, solution injectable en stylo prérempli,,
METOJECT 30 mg/0, solution injectable en stylo prérempli,solution injectable,,
METOJECT 7,15 ml, solution injectable en seringue préremplie,,
METOPROLOL ACCORD 100 mg,comprimé sécable,orale,,
METOPROLOL ACCORD 50 mg,comprimé,orale,,
METOPROLOL ARROW LAB 100 mg,comprimé pelliculé sécable,orale,,
METOPROLOL ARROW LAB 50 mg,comprimé pelliculé sécable,orale,,
METOPROLOL SANDOZ 100 mg,comprimé,orale,,
METOPROLOL SANDOZ 50 mg,comprimé,orale,,
METOPROLOL VIATRIS 100 mg,comprimé sécable,orale,,
METRONIDAZOLE ARROW 250 mg,comprimé pelliculé,orale,,
METRONIDAZOLE ARROW 500 mg,comprimé pelliculé,orale,,
METRONIDAZOLE BIOGARAN 250 mg,comprimé pelliculé,orale,,
METRONIDAZOLE BIOGARAN 500 mg,comprimé pelliculé,orale,,
METRONIDAZOLE SUBSTIPHARM 250 mg,comprimé pelliculé,orale,,
METRONIDAZOLE SUBSTIPHARM 500 mg,comprimé pelliculé,orale,,
METVIXIA 168 mg/g,crème,cutanée,,
MEZEREUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEZEREUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MEZEREUM WELEDA,granules et  solution en gouttes en gouttes,orale/sublinguale,,
MIANSERINE ARROW 10 mg,comprimé pelliculé,orale,,
MIANSERINE ARROW 30 mg,comprimé pelliculé sécable,orale,,
MIANSERINE ARROW 60 mg,comprimé pelliculé sécable,orale,,
MIANSERINE BIOGARAN 10 mg,comprimé pelliculé,orale,,
MIANSERINE BIOGARAN 30 mg,comprimé pelliculé,orale,,
MIANSERINE BIOGARAN 60 mg,comprimé pelliculé sécable,orale,,
MIANSERINE CRISTERS 10 mg,comprimé pelliculé,orale,,
MIANSERINE CRISTERS 30 mg,comprimé pelliculé sécable,orale,,
MIANSERINE CRISTERS 60 mg,comprimé pelliculé sécable,orale,,
MIANSERINE EG 10 mg,comprimé pelliculé,orale,,
MIANSERINE EG 30 mg,comprimé pelliculé sécable,orale,,
MIANSERINE EG 60 mg,comprimé pelliculé sécable,orale,,
MIANSERINE SANDOZ 10 mg,comprimé pelliculé,orale,,
MIANSERINE SANDOZ 30 mg,comprimé pelliculé sécable,orale,,
MIANSERINE SANDOZ 60 mg,comprimé pelliculé sécable,orale,,
MIANSERINE TEVA 10 mg,comprimé pelliculé,orale,,
MIANSERINE TEVA 30 mg,comprimé pelliculé sécable,orale,,
MIANSERINE TEVA 60 mg,comprimé pelliculé sécable,orale,,
MIANSERINE VIATRIS 10 mg,comprimé pelliculé,orale,,
MIANSERINE VIATRIS 30 mg,comprimé pelliculé,orale,,
MIANSERINE VIATRIS 60 mg,comprimé enrobé sécable,orale,,
MIANSERINE ZENTIVA 10 mg,comprimé pelliculé,orale,,
MIANSERINE ZENTIVA 30 mg,comprimé pelliculé sécable,orale,,
MIANSERINE ZENTIVA 60 mg,comprimé pelliculé sécable,orale,,
MICARDIS 40 mg,comprimé,orale,,
MICARDIS 80 mg,comprimé,orale,,
MICARDISPLUS 40 mg/12, comprimé,comprimé,,
MICARDISPLUS 80 mg/12, comprimé,comprimé,,
MICARDISPLUS 80 mg/25 mg,comprimé,orale,,
MICROLAX BEBE SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM,solution,rectale,,
MICROLAX SORBITOL CITRATE ET LAURILSULFOACETATE DE SODIUM,solution,rectale,,
MICROPAQUE SCANNER,suspension buvable à diluer,orale,,
MICROPAQUE,suspension buvable ou,orale/rectale,,
MICROTRAST,pâte,orale,,
MICROVAL,comprimé enrobé,orale,,
MIDAZOLAM ACCORD 1 mg/ml,solution injectable pour perfusion ou,intramusculaire/intraveineuse/rectale/sous-cutanée,,
MIDAZOLAM ACCORD 5 mg/ml,solution injectable pour perfusion ou,intramusculaire/intraveineuse/rectale/sous-cutanée,,
MIDAZOLAM VIATRIS 1 mg/ml,solution injectable pour perfusion ou,intramusculaire/intraveineuse/rectale/sous-cutanée,,
MIDAZOLAM VIATRIS 5 mg/ml,solution injectable pour perfusion ou,intramusculaire/intraveineuse/rectale/sous-cutanée,,
MIDODRINE ARROW 2, comprimé,comprimé,,
MIDODRINE BIOGARAN 2, comprimé,comprimé,,
MIDODRINE SUBSTIPHARM 2, comprimé,comprimé,,
MIDODRINE TEVA 2, comprimé,comprimé,,
MIDODRINE VIATRIS 2, comprimé,comprimé,,
MIDODRINE ZENTIVA 2, comprimé,comprimé,,
MIFEGYNE 200 mg,comprimé,orale,,
MIFEGYNE 600 mg,comprimé,orale,,
MIFLASONE 400 microgrammes,poudre pour inhalation en gélule,inhalée,,
MIFLONIL BREEZHALER 200 microgrammes,poudre pour inhalation en gélule,inhalée,,
MIFLONIL BREEZHALER 400 microgrammes,poudre pour inhalation en gélule,inhalée,,
MIGPRIV,poudre pour solution buvable,orale,,
MIKICORT 3 mg,gélule gastro-résistant(e),orale,,
MIKICORT 9 mg,granulés gastro-résistant(e),orale,,
MILDAC 300 mg,comprimé enrobé,orale,,
MILDAC 600 mg,comprimé enrobé,orale,,
MILEVONI 100 microgrammes/20 microgrammes,comprimé enrobé,orale,,
MILEVONI 150 microgrammes/30 microgrammes,comprimé enrobé,orale,,
MILLEFOLIUM BOIRON, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MILLEFOLIUM LEHNING, comprimé et solution(s) et granules et poudre et pommade,cutanée/orale/sublinguale,,
MILLEFOLIUM WELEDA,granules et  crème et  solution en gouttes en gouttes,cutanée/orale/sublinguale,,
MILNACIPRAN ARROW 25 mg,gélule,orale,,
MILNACIPRAN ARROW 50 mg,gélule,orale,,
MILNACIPRAN EG 25 mg,gélule,orale,,
MILNACIPRAN EG 50 mg,gélule,orale,,
MIMPARA 1 mg,granulés en gélule,orale,,
MIMPARA 2, granulés en gélule,granulés en gélule,,
MIMPARA 30 mg,comprimé pelliculé,orale,,
MIMPARA 60 mg,comprimé pelliculé,orale,,
MIMPARA 90 mg,comprimé pelliculé,orale,,
MINERVA 35 microgrammes,comprimé enrobé,orale,,
MINESSE 60 microgrammes/15 microgrammes,comprimé pelliculé et  comprimé pelliculé pelliculé,orale,,
MINI-SINTROM 1 mg,comprimé,orale,,
MINIDRIL,comprimé enrobé,orale,,
MINIRIN 0, comprimé,comprimé,,
MINIRIN 4 microgrammes/mL,solution injectable,intramusculaire/intraveineuse/sous-cutanée,,
MINIRIN SPRAY 10 microgrammes par dose,solution,nasale,,
MINIRINMELT 120 microgrammes,lyophilisat,orale,,
MINIRINMELT 240 microgrammes,lyophilisat,orale,,
MINIRINMELT 60 microgrammes,lyophilisat,orale,,
MINOXIDIL BAILLEUL 2 %,solution pour application,cutanée,,
MINOXIDIL BAILLEUL 5 %,solution pour application,cutanée,,
MINOXIDIL BIOGARAN CONSEIL 2 %,solution pour application,cutanée,,
MINOXIDIL BIOGARAN CONSEIL 5 %,solution pour application,cutanée,,
MINOXIDIL SANDOZ CONSEIL 2 %,solution pour application,cutanée,,
MINOXIDIL SANDOZ CONSEIL 5 %,solution pour application,cutanée,,
MINOXIDIL VIATRIS CONSEIL 2 %,solution pour application,cutanée,,
MINOXIDIL VIATRIS CONSEIL 5 %,solution pour application,cutanée,,
MINULET,comprimé enrobé,orale,,
MIOREL 4 mg,gélule,orale,,
MIOREL 4 mg/2 ml,solution injectable,intramusculaire,,
MIRENA 52 mg (20 microgrammes/24 heures),dispositif,intra-utérine,,
MIRTAZAPINE ALMUS 15 mg,comprimé orodispersible,orale,,
MIRTAZAPINE ARROW 15 mg,comprimé orodispersible,orale,,
MIRTAZAPINE ARROW GENERIQUES 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE BIOGARAN 15 mg,comprimé orodispersible,orale,,
MIRTAZAPINE BLUEFISH 15 mg,comprimé orodispersible,orale,,
MIRTAZAPINE CRISTERS 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE EG 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE SANDOZ 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE TEVA 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE VIATRIS 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE ZENTIVA 15 mg,comprimé pelliculé,orale,,
MIRTAZAPINE ZYDUS 15 mg,comprimé pelliculé,orale,,
MIRVASO 3 mg/g,gel,cutanée,,
MISOLFA 2 mg/0, comprimé pelliculé,comprimé pelliculé,,
MISOONE 400 microgrammes,comprimé sécable,orale,,
MIXTARD 30 100 unités internationales/ml,suspension injectable,sous-cutanée,,
MIZOCLER 10 mg,comprimé pelliculé à libération modifiée,orale,,
MIZOLLEN 10 mg,comprimé pelliculé à libération modifiée,orale,,
MOBIC 15 mg,comprimé sécable,orale,,
MOBIC 15 mg/1, solution injectable,solution injectable,,
MOBIC 7, comprimé,comprimé,,
MOCLAMINE 150 mg,comprimé pelliculé sécable,orale,,
